_id,name_cn,name_en,type,show_time,score,avatar
1250952,天气之子,天气之子,"爱情,动画,奇幻",2019-11-01中国大陆上映,9.0,https://p0.meituan.net/movie/ecca4f0b95340b2c57006a1bace4c3f91386100.jpg@1l_1e_1c_128w_180h
1218273,误杀,误杀,"剧情,犯罪",2019-12-13中国大陆上映,9.4,https://p1.meituan.net/movie/967b253953bc7e660cfadbf9d78f67b62852693.jpg@1l_1e_1c_128w_180h
344990,唐人街探案2,唐人街探案2,"喜剧,动作,悬疑",2018-02-16中国大陆上映,9.0,https://p1.meituan.net/movie/efb0a5e3989f45c4f3e22108bcc27ed71037307.jpg@1l_1e_1c_128w_180h
1211270,哪吒之魔童降世,哪吒之魔童降世,"动画,喜剧,奇幻",2019-07-26中国大陆上映,9.6,https://p0.meituan.net/movie/005955214d5b3e50c910d7a511b0cb571445301.jpg@1l_1e_1c_128w_180h
1218029,少年的你,少年的你,"爱情,青春,剧情",2019-10-25中国大陆上映,9.4,https://p0.meituan.net/movie/7b437e3a0d08d10e374ddc34f71b88fe3379132.jpg@1l_1e_1c_128w_180h
1227006,吹哨人,吹哨人,"剧情,犯罪,悬疑",2019-12-06中国大陆上映,8.4,https://p0.meituan.net/movie/2cbc83f180080382b7754652b04718152049777.jpg@1l_1e_1c_128w_180h
246061,哥斯拉2：怪兽之王,哥斯拉2：怪兽之王,"科幻,灾难,动作",2019-05-31中国大陆上映,8.5,https://p0.meituan.net/movie/71fba05fbe4912cb70d27b87c3c856393364925.jpg@1l_1e_1c_128w_180h
344264,战狼2,战狼2,"动作,战争",2017-07-27中国大陆上映,9.7,https://p0.meituan.net/movie/0355f74de087b699b85b7daa3d7881ec365712.jpg@1l_1e_1c_128w_180h
1251639,毒液2,毒液2,"动作,科幻,惊悚,恐怖",2020-06-25美国上映,暂无评分,https://p1.meituan.net/movie/015a88920f0f5b17273de7a25408ac5584998.jpg@1l_1e_1c_128w_180h
343355,恐怖电影院2,恐怖电影院2,"恐怖,惊悚",2017-10-20中国大陆上映,4.9,https://p0.meituan.net/movie/913ab2bb77e596faac6e5f5e3831c8a9255571.jpg@1l_1e_1c_128w_180h
1225578,野性的呼唤,野性的呼唤,"剧情,冒险",2020-02-21美国上映,7.2,https://p1.meituan.net/moviemachine/6ca63f0a1b08ee9667dcf0f699b6cf3d216090.jpg@1l_1e_1c_128w_180h
248172,复仇者联盟4：终局之战,复仇者联盟4：终局之战,"动作,冒险,奇幻",2019-04-24中国大陆上映,9.1,https://p0.meituan.net/moviemachine/f7d2ad70eb79d6d9b8a197713db9b8c41711752.jpg@1l_1e_1c_128w_180h
247949,冰雪奇缘2,冰雪奇缘2,"喜剧,动画,冒险",2019-11-22中国大陆上映,9.0,https://p0.meituan.net/moviemachine/58ee13be6dc60bf5e636cf915bbbaaa55787785.jpg@1l_1e_1c_128w_180h
1285808,活着,活着,灾难,2020-06-24韩国上映,暂无评分,https://p0.meituan.net/moviemachine/ce48cf62a8968b32289fc15eb749fafd819957.jpg@1l_1e_1c_128w_180h
1278457,火箭少女101飞行演唱会*广州站,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30中国大陆上映,暂无评分,https://p0.meituan.net/movie/8890cbfdb7519fddcef493353ef2ea7f140096.jpg@1l_1e_1c_128w_180h
344869,疯狂的外星人,疯狂的外星人,"剧情,喜剧,科幻",2019-02-05中国大陆上映,8.5,https://p0.meituan.net/movie/6a21e35ad7106c60967954b165c09b92915222.jpg@1l_1e_1c_128w_180h
1230121,中国机长,中国机长,"剧情,传记",2019-09-30中国大陆上映,9.4,https://p0.meituan.net/movie/cddf92d0ac6a0db837a1bc488b241c42267927.jpg@1l_1e_1c_128w_180h
1277644,两只老虎,两只老虎,"剧情,喜剧",2019-11-29中国大陆上映,8.0,https://p0.meituan.net/moviemachine/19d48b1fd4f4af5c8c8e1c780a26fa431567220.jpg@1l_1e_1c_128w_180h
248906,流浪地球,流浪地球,"剧情,冒险,科幻",2019-02-05中国大陆上映,9.2,https://p1.meituan.net/movie/616cd50a33550a9225ac781e52d14ae54967551.jpg@1l_1e_1c_128w_180h
443387,星球大战：天行者崛起,星球大战：天行者崛起,"动作,科幻,冒险",2019-12-20中国大陆上映,7.9,https://p0.meituan.net/moviemachine/a16716ff2873be37857add59f882e44d5071965.jpg@1l_1e_1c_128w_180h
1332034,最美逆行,最美逆行,剧情,2020-06-28中国大陆上映,暂无评分,https://p0.meituan.net/moviemachine/4456ee7276eeee6dbd437743735caa09114795.jpg@1l_1e_1c_128w_180h
343203,釜山行,釜山行,"动作,惊悚,灾难",2016-07-20韩国上映,8.9,https://p1.meituan.net/movie/9a0cc541dba6851c92143f0cc0d97bbe270276.jpg@1l_1e_1c_128w_180h
1250696,囧妈,囧妈,"剧情,喜剧",2020-01-25中国大陆上映,暂无评分,https://p1.meituan.net/movie/f2ebf28e702874e3aa4238911cd34ef41074680.jpg@1l_1e_1c_128w_180h
1277939,我和我的祖国,我和我的祖国,剧情,2019-09-30中国大陆上映,9.7,https://p0.meituan.net/moviemachine/b2c5c74d33e45745fd3462e44b3698e18336620.jpg@1l_1e_1c_128w_180h
336798,速度与激情：增压,速度与激情：增压,"动作,短片",2015-06-25美国上映,7.8,https://p0.meituan.net/movie/de9c7b6a0afa18a196b14867e5f3385f176111.jpg@1l_1e_1c_128w_180h
1324423,因爱而伟大,因爱而伟大,"剧情,家庭",,暂无评分,https://p0.meituan.net/moviemachine/516fe3b08da4626f894b6749eb12cc4e990106.jpg@1l_1e_1c_128w_180h
1285581,数码宝贝大冒险：最后的进化·羁绊,数码宝贝大冒险：最后的进化·羁绊,"动画,冒险",2020-02-21日本上映,7.5,https://p0.meituan.net/movie/91fbd3b7a8a4304f0b40dbac0139e483170865.jpg@1l_1e_1c_128w_180h
1305801,泰迦奥特曼剧场版 新世代CLIMAX,泰迦奥特曼剧场版 新世代CLIMAX,"科幻,冒险",2020-03-06日本上映,暂无评分,https://p0.meituan.net/movie/f3fe98e46f314689eb16f03d4381d809156648.jpg@1l_1e_1c_128w_180h
1198925,蜘蛛侠：英雄远征,蜘蛛侠：英雄远征,"动作,冒险,科幻",2019-06-28中国大陆上映,9.0,https://p0.meituan.net/moviemachine/48fdec1c3f34533f1e1b907c5e8a61f01905931.jpg@1l_1e_1c_128w_180h
